agency_name,agency_slug,cfr_citation,parent_agency,active,document_count,query_successful,error_message,last_updated
Office of National Drug Control Policy,office-of-national-drug-control-policy,21 CFR,Office of National Drug Control Policy,True,64,True,,2025-08-07T15:17:21.097856
Operations Office,operations-office,40 CFR,Operations Office,True,16,True,,2025-08-07T15:17:21.097860
Overseas Private Investment Corporation,overseas-private-investment-corporation,17 CFR,Overseas Private Investment Corporation,True,64,True,,2025-08-07T15:17:21.097864
Pacific Northwest Electric Power and Conservation Planning Council,pacific-northwest-electric-power-and-conservation-planning-council,40 CFR,Pacific Northwest Electric Power and Conservation Planning Council,True,64,True,,2025-08-07T15:17:21.097867
Partnerships and Public Engagement Office,partnerships-and-public-engagement-office,7 CFR,Partnerships and Public Engagement Office,True,64,True,,2025-08-07T15:17:21.097871
Patent and Trademark Office,patent-and-trademark-office,17 CFR,Patent and Trademark Office,True,64,True,,2025-08-07T15:17:21.097875
Pension and Welfare Benefits Administration,pension-and-welfare-benefits-administration,17 CFR,Pension and Welfare Benefits Administration,True,64,True,,2025-08-07T15:17:21.097879
Pension Benefit Guaranty Corporation,pension-benefit-guaranty-corporation,17 CFR,Pension Benefit Guaranty Corporation,True,64,True,,2025-08-07T15:17:21.097883
Pipeline and Hazardous Materials Safety Administration,pipeline-and-hazardous-materials-safety-administration,49 CFR,Pipeline and Hazardous Materials Safety Administration,True,64,True,,2025-08-07T15:17:21.097886
Postal Rate Commission,postal-rate-commission,10 CFR,Postal Rate Commission,True,7,True,,2025-08-07T15:17:21.097890
President's Council on Sustainable Development,president-s-council-on-sustainable-development,40 CFR,President's Council on Sustainable Development,False,4,True,,2025-08-07T15:17:21.097893
President's Economic Policy Advisory Board,president-s-economic-policy-advisory-board,12 CFR,President's Economic Policy Advisory Board,True,4,True,,2025-08-07T15:17:21.097897
Prisons Bureau,prisons-bureau,40 CFR,Prisons Bureau,True,64,True,,2025-08-07T15:17:21.097900
"Procurement and Property Management, Office of",procurement-and-property-management-office-of,14 CFR,"Procurement and Property Management, Office of",True,64,True,,2025-08-07T15:17:21.097904
Program Support Center,program-support-center,12 CFR,Program Support Center,True,37,True,,2025-08-07T15:17:21.097908
Prospective Payment Assessment Commission,prospective-payment-assessment-commission,21 CFR,Prospective Payment Assessment Commission,True,64,True,,2025-08-07T15:17:21.097911
Public Debt Bureau,public-debt-bureau,17 CFR,Public Debt Bureau,True,64,True,,2025-08-07T15:17:21.097916
Public Health Service,public-health-service,21 CFR,Health and Human Services Department,True,64,True,,2025-08-07T15:17:21.097920
Railroad Retirement Board,railroad-retirement-board,29 CFR,Railroad Retirement Board,True,64,True,,2025-08-07T15:17:21.097924
Reagan-Udall Foundation for the Food and Drug Administration,reagan-udall-foundation-for-the-food-and-drug-administration,21 CFR,Reagan-Udall Foundation for the Food and Drug Administration,True,43,True,,2025-08-07T15:17:21.097927
Reclamation Bureau,reclamation-bureau,10 CFR,Reclamation Bureau,True,64,True,,2025-08-07T15:17:21.097931
Recovery Accountability and Transparency Board,recovery-accountability-and-transparency-board,17 CFR,Recovery Accountability and Transparency Board,True,64,True,,2025-08-07T15:17:21.097935
Research and Innovative Technology Administration,research-and-innovative-technology-administration,49 CFR,Research and Innovative Technology Administration,True,64,True,,2025-08-07T15:17:21.097939
Research and Special Programs Administration,research-and-special-programs-administration,49 CFR,Research and Special Programs Administration,False,64,True,,2025-08-07T15:17:21.097943
Resolution Trust Corporation,resolution-trust-corporation,12 CFR,Resolution Trust Corporation,False,64,True,,2025-08-07T15:17:21.097946
Risk Management Agency,risk-management-agency,7 CFR,Risk Management Agency,True,64,True,,2025-08-07T15:17:21.097950
Rural Housing and Community Development Service,rural-housing-and-community-development-service,7 CFR,Rural Housing and Community Development Service,True,64,True,,2025-08-07T15:17:21.097955
Rural Utilities Service,rural-utilities-service,12 CFR,Rural Utilities Service,True,64,True,,2025-08-07T15:17:21.097958
Safety and Environmental Enforcement Bureau,safety-and-environmental-enforcement-bureau,40 CFR,Safety and Environmental Enforcement Bureau,False,64,True,,2025-08-07T15:17:21.097963
Saint Lawrence Seaway Development Corporation,saint-lawrence-seaway-development-corporation,49 CFR,Saint Lawrence Seaway Development Corporation,True,4,True,,2025-08-07T15:17:21.097967
Science and Technology Policy Office,science-and-technology-policy-office,34 CFR,Science and Technology Policy Office,True,64,True,,2025-08-07T15:17:21.097969
Secret Service,secret-service,12 CFR,Secret Service,True,64,True,,2025-08-07T15:17:21.097971
Securities and Exchange Commission,securities-and-exchange-commission,17 CFR,Securities and Exchange Commission,True,64,True,,2025-08-07T15:17:21.097973
Selective Service System,selective-service-system,10 CFR,Selective Service System,True,64,True,,2025-08-07T15:17:21.097976
Small Business Administration,small-business-administration,17 CFR,Small Business Administration,True,64,True,,2025-08-07T15:17:21.097978
Smithsonian Institution,smithsonian-institution,34 CFR,Smithsonian Institution,True,13,True,,2025-08-07T15:17:21.097980
Social Security Administration,social-security-administration,29 CFR,Social Security Administration,True,64,True,,2025-08-07T15:17:21.097983
Southeastern Power Administration,southeastern-power-administration,10 CFR,Southeastern Power Administration,True,64,True,,2025-08-07T15:17:21.097985
Southwestern Power Administration,southwestern-power-administration,10 CFR,Southwestern Power Administration,True,64,True,,2025-08-07T15:17:21.097987
Special Counsel Office,special-counsel-office,29 CFR,Special Counsel Office,True,64,True,,2025-08-07T15:17:21.097989
Special Trustee for American Indians Office,special-trustee-for-american-indians-office,12 CFR,Special Trustee for American Indians Office,True,64,True,,2025-08-07T15:17:21.097992
Strategic Preparedness and Response Administration,strategic-preparedness-and-response-administration,21 CFR,Strategic Preparedness and Response Administration,True,25,True,,2025-08-07T15:17:21.097995
Substance Abuse and Mental Health Services Administration,substance-abuse-and-mental-health-services-administration,21 CFR,Health and Human Services Department,True,64,True,,2025-08-07T15:17:21.097997
Surface Mining Reclamation and Enforcement Office,surface-mining-reclamation-and-enforcement-office,40 CFR,Surface Mining Reclamation and Enforcement Office,True,64,True,,2025-08-07T15:17:21.097999
Surface Transportation Board,surface-transportation-board,49 CFR,Surface Transportation Board,False,64,True,,2025-08-07T15:17:21.098001
Technology Administration,technology-administration,34 CFR,Technology Administration,False,64,True,,2025-08-07T15:17:21.098003
Thrift Depositor Protection Oversight Board,thrift-depositor-protection-oversight-board,12 CFR,Thrift Depositor Protection Oversight Board,False,64,True,,2025-08-07T15:17:21.098005
Thrift Supervision Office,thrift-supervision-office,12 CFR,Thrift Supervision Office,True,64,True,,2025-08-07T15:17:21.098008
"Trade Representative, Office of United States",trade-representative-office-of-united-states,12 CFR,"Trade Representative, Office of United States",True,64,True,,2025-08-07T15:17:21.098009
Transportation Department,transportation-department,14 CFR,Transportation Department,False,64,True,,2025-08-07T15:17:21.098012
Transportation Office,transportation-office,49 CFR,Transportation Office,True,7,True,,2025-08-07T15:17:21.098014
Transportation Security Administration,transportation-security-administration,14 CFR,Transportation Security Administration,False,64,True,,2025-08-07T15:17:21.098016
Transportation Statistics Bureau,transportation-statistics-bureau,17 CFR,Transportation Statistics Bureau,False,64,True,,2025-08-07T15:17:21.098019
Travel and Tourism Administration,travel-and-tourism-administration,29 CFR,Travel and Tourism Administration,True,34,True,,2025-08-07T15:17:21.098021
Treasury Department,treasury-department,12 CFR,Treasury Department,True,64,True,,2025-08-07T15:17:21.098024
Twenty-First Century Workforce Commission,twenty-first-century-workforce-commission,17 CFR,Twenty-First Century Workforce Commission,True,25,True,,2025-08-07T15:17:21.098026
U.S. Codex Office,u-s-codex-office,21 CFR,U.S. Codex Office,True,3,True,,2025-08-07T15:17:21.098028
U.S. Committee on the Marine Transportation System,u-s-committee-on-the-marine-transportation-system,49 CFR,U.S. Committee on the Marine Transportation System,True,13,True,,2025-08-07T15:17:21.098030
U.S. Customs and Border Protection,u-s-customs-and-border-protection,49 CFR,U.S. Customs and Border Protection,True,64,True,,2025-08-07T15:17:21.098032
U.S. House of Representatives,u-s-house-of-representatives,10 CFR,U.S. House of Representatives,True,10,True,,2025-08-07T15:17:21.098034
U.S. Immigration and Customs Enforcement,u-s-immigration-and-customs-enforcement,49 CFR,U.S. Immigration and Customs Enforcement,True,64,True,,2025-08-07T15:17:21.098036
U.S. Trade Deficit Review Commission,u-s-trade-deficit-review-commission,29 CFR,U.S. Trade Deficit Review Commission,True,25,True,,2025-08-07T15:17:21.098038
U.S.-China Economic and Security Review Commission,u-s-china-economic-and-security-review-commission,21 CFR,U.S.-China Economic and Security Review Commission,True,64,True,,2025-08-07T15:17:21.098041
Uniformed Services University of the Health Sciences,uniformed-services-university-of-the-health-sciences,21 CFR,Health and Human Services Department,True,64,True,,2025-08-07T15:17:21.098043
United States Agency for Global Media,united-states-agency-for-global-media,40 CFR,United States Agency for Global Media,True,37,True,,2025-08-07T15:17:21.098045
United States Enrichment Corporation,united-states-enrichment-corporation,10 CFR,United States Enrichment Corporation,False,64,True,,2025-08-07T15:17:21.098047
United States Information Agency,united-states-information-agency,34 CFR,United States Information Agency,True,64,True,,2025-08-07T15:17:21.098049
United States Institute of Peace,united-states-institute-of-peace,10 CFR,United States Institute of Peace,True,64,True,,2025-08-07T15:17:21.098052
United States Olympic and Paralympic Committee,united-states-olympic-and-paralympic-committee,10 CFR,United States Olympic and Paralympic Committee,True,7,True,,2025-08-07T15:17:21.098054
Veterans Affairs Department,veterans-affairs-department,21 CFR,Veterans Affairs Department,True,64,True,,2025-08-07T15:17:21.098056
Veterans Employment and Training Service,veterans-employment-and-training-service,12 CFR,Veterans Employment and Training Service,True,64,True,,2025-08-07T15:17:21.098058
Wage and Hour Division,wage-and-hour-division,29 CFR,Wage and Hour Division,True,64,True,,2025-08-07T15:17:21.098061
Western Area Power Administration,western-area-power-administration,10 CFR,Western Area Power Administration,True,64,True,,2025-08-07T15:17:21.098064
Women's Business Enterprise Interagency Committee,women-s-business-enterprise-interagency-committee,12 CFR,Women's Business Enterprise Interagency Committee,True,7,True,,2025-08-07T15:17:21.098066
Women's Progress Commemoration Commission,women-s-progress-commemoration-commission,34 CFR,Women's Progress Commemoration Commission,True,10,True,,2025-08-07T15:17:21.098068
Workers' Compensation Programs Office,workers-compensation-programs-office,10 CFR,Workers' Compensation Programs Office,True,64,True,,2025-08-07T15:17:21.098070
